code, description
0302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04."
3804,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03."
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
8902,"Fishing vessels; factory ships and other vessels for processing or preserving fishery products."
2517,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or n"
7502,"Unwrought nickel."
9301,"Military weapons, other than revolvers, pistols and the arms of heading 93.07"
0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen."
4701,"Mechanical wood pulp."
9305,"Parts and accessories of articles of headings 93.01 to 93.04."
2711,"Petroleum gases and other gaseous hydrocarbons."
8906,"Other vessels, including warships and lifeboats other than rowing boats."
1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified."
2516,"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
2924,"Carboxyamide-function compounds; amide-function compounds of carbonic acid."
2509,"Chalk."
0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04."
4702,"Chemical wood pulp, dissolving grades."
7601,"Unwrought aluminium."
8405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers."
8105,"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, including waste and scrap."
2506,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
7903,"Zinc dust, powders and flakes."
9306,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads."
4806,"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets."
4704,"Chemical wood pulp, sulphite, other than dissolving grades"
2614,"Titanium ores and concentrates."
2849,"Carbides, whether or not chemically defined."
7202,"Ferro-alloys."
8545,"Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes."
7605,"Aluminium wire."
9023,"Instruments, apparatus and models, designed for demonstrational purposes (for example, in education or exhibitions), unsuitable for other uses."
2820,"Manganese oxides."
2804,"Hydrogen, rare gases and other non-metals."
5109,"Yarn of wool or of fine animal hair, put up for retail sale."
3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg."
2620,"Slag, ash and residues (other than from the manufacture of iron or steel) containing metals, arsenic or their compounds."
2529,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar."
4801,"Newsprint, in rolls or sheets."
9702,"Original engravings, prints and lithographs."
