code, description
4007,"Vulcanised rubber thread and cord."
6209,"Babies' garments and clothing accessories."
8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter."
8713,"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled."
2101,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or maté; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof."
2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06."
8425,"Pulley tackle and hoists other than skip hoists; winches and capstans; jacks."
2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow."
3006,"Pharmaceutical goods specified in Note 4 to this Chapter."
8411,"Turbo-jets, turbo-propellers and other gas turbines."
8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus."
7209,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated."
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal."
8546,"Electrical insulators of any material."
3926,"Other articles of plastics and articles of other materials of headings 39.01 to 39.14."
8704,"Motor vehicles for the transport of goods."
0302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04."
7210,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated."
2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated."
8456,"Machine-tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron beam, ionic-beam or plasma arc processes."
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter."
2826,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts."
1806,"Chocolate and other food preparations containing cocoa."
6116,"Gloves, mittens and mitts, knitted or crocheted."
6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed."
8430,"Other moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers."
8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers."
8701,"Tractors (other than tractors of heading 87.09)."
2518,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; dolomite ramming mix."
8705,"Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, breakdown lorries, crane lorries, fire fighting vehicles, concrete-mixer lorries, road sweeper lorries, spraying lorries, mobile work"
2821,"Iron oxides and hydroxides; earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3."
5207,"Cotton yarn (other than sewing thread) put up for retail sale."
5309,"Woven fabrics of flax."
2207,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher; ethyl alcohol and other spirits, denatured, of any strength."
3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in Note 3 to this Chapter, not elsewhere specified or included, in primary forms."
9209,"Parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds."
6217,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12."
9618,"Tailors' dummies and other lay figures; automata and other animated displays used for shop window dressing."
2807,"Sulphuric acid; oleum."
7019,"Glass fibres (including glass wool) and articles thereof (for example, yarn, woven fabrics)."
3603,"Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators."
9508,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling circuses and travelling menageries; travelling theatres."
9033,"Parts and accessories (not specified or included elsewhere in this Chapter) for machines, appliances, instruments or apparatus of Chapter 90."
3401,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or c"
7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely twisted double wire, of a kind used for fencing, of iron or steel."
8463,"Other machine-tools for working metal or cermets, without removing material."
2103,"Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard."
1601,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products."
8506,"Primary cells and primary batteries."
8523,"Discs, tapes, solid-state non-volatile storage devices, \smart cards\" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter ""
6603,"Parts, trimmings and accessories of articles of heading 66.01 or 66.02."
7007,"Safety glass, consisting of toughened (tempered) or laminated glass."
8602,"Other rail locomotives; locomotive tenders."
8516,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; ele"
5516,"Woven fabrics of artificial staple fibres."
0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included."
9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor."
2509,"Chalk."
2104,"Soups and broths and preparations therefor; homogenised composite food preparations."
3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included."
7508,"Other articles of nickel."
2825,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides."
8533,"Electrical resistors (including rheostats and potentiometers), other than heating resistors."
8419,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting"
5901,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations."
7615,"Table, kitchen or other household articles and parts thereof, of aluminium; pot scourers and scouring or polishing pads, gloves and the like, of aluminium; sanitary ware and parts thereof, of aluminium."
8505,"Electro-magnets; permanent magnets and articles intended to become permanent magnets after magnetisation; electro-magnetic or permanent magnet chucks, clamps and similar holding devices; electro-magnetic couplings, clutches and brakes; electro-magnetic li"
8101,"Tungsten (wolfram) and articles thereof, including waste and scrap."
2803,"Carbon (carbon blacks and other forms of carbon not elsewhere specified or included)."
4702,"Chemical wood pulp, dissolving grades."
7118,"Coin."
3211,"Prepared driers."
2530,"Mineral substances not elsewhere specified or included."
2847,"Hydrogen peroxide, whether or not solidified with urea."
2929,"Compounds with other nitrogen function."
3902,"Polymers of propylene or of other olefins, in primary forms."
2906,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives."
4011,"New pneumatic tyres, of rubber."
2817,"Zinc oxide; zinc peroxide."
